type,sku,name,regular_price,categories,images,description,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,status,parent,length,width,height,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
variable,PARENT_1,Baseball/Softball Astro Award,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/AA202--ce8666a8.png,,Size,Large,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,AA202,Baseball/Softball Astro Award,15.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/AA202--ce8666a8.png,"Original dimensions (in): 7""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_1,17.78,17.78,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,AA212,Baseball/Softball Astro Award,20.5,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/AA212--749ed725.png,"Original dimensions (in): 8 3/4""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_1,22.23,22.23,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,AA222,Baseball/Softball Astro Award,23.75,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/AA222--30d0a156.png,"Original dimensions (in): 10 3/4""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_1,27.3,27.3,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variable,PARENT_2,Baseball/Softball Aspire Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/ASP101--856c5b87.png,,Size,"Medium,Large",1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,ASP101,Baseball/Softball Aspire Resin,16.5,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/ASP101--856c5b87.png,"Original dimensions (in): 6""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_2,15.24,15.24,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,ASP201,Baseball/Softball Aspire Resin,23.25,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/ASP201--c0cf89bd.png,"Original dimensions (in): 8""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_2,20.32,20.32,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_3,Baseball Broadcast Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/BCR101--eef16221.png,,Size,"Medium,Large",1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,BCR101,Baseball Broadcast Resin,16.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/BCR101--eef16221.png,"Original dimensions (in): 6""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_3,15.24,15.24,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,BCR201,Baseball Broadcast Resin,18.5,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/BCR201--05f2f7fd.png,"Original dimensions (in): 7""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_3,17.78,17.78,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_4,Softball Banner Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/BNN18--abfe51f6.png,,Size,Large,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,BNN18,Softball Banner Resin,19.5,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/BNN18--abfe51f6.png,"Original dimensions (in): 7""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_4,17.78,17.78,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,BNN38,Softball Banner Resin,23.5,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/BNN38--c1ce16e7.png,"Original dimensions (in): 8 1/2""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_4,21.59,21.59,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_5,Baseball/Softball Blaze Award,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/BZ01--48a34828.png,,Size,Large,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,BZ01,Baseball/Softball Blaze Award,12.75,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/BZ01--48a34828.png,"Original dimensions (in): 7""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_5,17.78,17.78,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variable,PARENT_6,Baseball/Softball Cobra Award,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/CA192--6a6b397e.png,,Size,"Medium,Large",1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,CA192,Baseball/Softball Cobra Award,12.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/CA192--6a6b397e.png,"Original dimensions (in): 6 1/2""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_6,16.51,16.51,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,CA202,Baseball/Softball Cobra Award,14.25,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/CA202--f95aecb6.png,"Original dimensions (in): 7 1/2""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_6,19.05,19.05,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,CA222,Baseball/Softball Cobra Award,17.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/CA222--8b6012c3.png,"Original dimensions (in): 9""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_6,22.86,22.86,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,CA242,Baseball/Softball Cobra Award,22.5,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/CA242--f45c291d.png,"Original dimensions (in): 10 1/2""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_6,26.67,26.67,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,CA262,Baseball/Softball Cobra Award,28.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/CA262--1be36c7d.png,"Original dimensions (in): 12""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_6,30.48,30.48,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variable,PARENT_7,Baseball Happy Cup Award,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/HC101--dce1018a.png,,Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,HC101,Baseball Happy Cup Award,11.25,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/HC101--dce1018a.png,"Original dimensions (in): 6""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_7,15.24,15.24,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variable,PARENT_8,Baseball/Softball Hurricane Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/HC301--baf4c057.png,,Size,"Medium,Large",1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,HC301,Baseball/Softball Hurricane Resin,20.5,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/HC301--baf4c057.png,"Original dimensions (in): 6 1/2""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_8,16.51,16.51,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,HC321,Baseball/Softball Hurricane Resin,21.75,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/HC321--9903dc72.png,"Original dimensions (in): 7 1/2""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_8,19.05,19.05,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_9,Male Baseball Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/JDS11--f95c2563.png,,Size,Large,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,JDS11,Male Baseball Resin,29.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/JDS11--f95c2563.png,"Original dimensions (in): 9""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_9,22.86,22.86,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
